bayesian	('bayesian',)
standard~using	('using~standard',)
intervals~standard~using	('intervals~using~standard',)
confidence~intervals~standard~using	('confidence~intervals~using~standard',)
bayesian~procedure	('procedure~bayesian',)
bayesian~procedure~standard	('standard~procedure~bayesian',)
bayesian~procedure~standard~using	('using~standard~procedure~bayesian',)
analysis~bayesian~procedure	('procedure~bayesian~analysis',)
analysis~bayesian~procedure~standard	('standard~procedure~bayesian~analysis',)
somewhat	('somewhat',)
analysis~somewhat	('analysis~somewhat',)
analysis~bayesian~somewhat	('bayesian~analysis~somewhat',)
analysis~bayesian~procedure~somewhat	('procedure~bayesian~analysis~somewhat',)
controversial	('controversial',)
controversial~somewhat	('somewhat~controversial',)
analysis~controversial~somewhat	('analysis~somewhat~controversial',)
analysis~bayesian~controversial~somewhat	('bayesian~analysis~somewhat~controversial',)
because	('because',)
because~controversial	('controversial~because',)
because~controversial~somewhat	('somewhat~controversial~because',)
analysis~because~controversial~somewhat	('analysis~somewhat~controversial~because',)
validity	('validity',)
because~validity	('because~validity',)
because~controversial~validity	('controversial~because~validity',)
because~controversial~somewhat~validity	('somewhat~controversial~because~validity',)
depends	('depends',)
depends~validity	('validity~depends',)
because~depends~validity	('because~validity~depends',)
because~controversial~depends~validity	('controversial~because~validity~depends',)
valid	('valid',)
depends~valid	('depends~valid',)
depends~valid~validity	('validity~depends~valid',)
because~depends~valid~validity	('because~validity~depends~valid',)
prior~valid	('valid~prior',)
depends~prior~valid	('depends~valid~prior',)
depends~prior~valid~validity	('validity~depends~valid~prior',)
cannot	('cannot',)
cannot~distribution	('distribution~cannot',)
cannot~distribution~prior	('prior~distribution~cannot',)
cannot~distribution~prior~valid	('valid~prior~distribution~cannot',)
assessed	('assessed',)
assessed~cannot	('cannot~assessed',)
assessed~cannot~distribution	('distribution~cannot~assessed',)
assessed~cannot~distribution~prior	('prior~distribution~cannot~assessed',)
statistically	('statistically',)
season	('season',)
season~statistically	('statistically~season',)
assessed~season~statistically	('assessed~statistically~season',)
assessed~cannot~season~statistically	('cannot~assessed~statistically~season',)
episode	('episode',)
episode~season	('season~episode',)
episode~season~statistically	('statistically~season~episode',)
assessed~episode~season~statistically	('assessed~statistically~season~episode',)
man	('man',)
episode~man	('episode~man',)
episode~man~season	('season~episode~man',)
episode~man~season~statistically	('statistically~season~episode~man',)
hunt	('hunt',)
television	('television',)
hunt~television	('hunt~television',)
hunt~man~television	('man~hunt~television',)
episode~hunt~man~television	('episode~man~hunt~television',)
crime	('crime',)
crime~television	('television~crime',)
crime~hunt~television	('hunt~television~crime',)
crime~hunt~man~television	('man~hunt~television~crime',)
drama	('drama',)
crime~drama	('crime~drama',)
crime~drama~television	('television~crime~drama',)
crime~drama~hunt~television	('hunt~television~crime~drama',)
numb3rs	('numb3rs',)
featured	('featured',)
featured~numb3rs	('numb3rs~featured',)
drama~featured~numb3rs	('drama~numb3rs~featured',)
crime~drama~featured~numb3rs	('crime~drama~numb3rs~featured',)
bayesian~featured	('featured~bayesian',)
bayesian~featured~numb3rs	('numb3rs~featured~bayesian',)
bayesian~drama~featured~numb3rs	('drama~numb3rs~featured~bayesian',)
inference	('inference',)
bayesian~inference	('bayesian~inference',)
bayesian~featured~inference	('featured~bayesian~inference',)
bayesian~featured~inference~numb3rs	('numb3rs~featured~bayesian~inference',)
inference~season	('inference~season',)
bayesian~inference~season	('bayesian~inference~season',)
bayesian~featured~inference~season	('featured~bayesian~inference~season',)
episode~inference~season	('inference~season~episode',)
bayesian~episode~inference~season	('bayesian~inference~season~episode',)
judgment	('judgment',)
episode~judgment	('episode~judgment',)
episode~judgment~season	('season~episode~judgment',)
episode~inference~judgment~season	('inference~season~episode~judgment',)
featured~judgment	('judgment~featured',)
episode~featured~judgment	('episode~judgment~featured',)
episode~featured~judgment~season	('season~episode~judgment~featured',)
bayesian~featured~judgment	('judgment~featured~bayesian',)
bayesian~episode~featured~judgment	('episode~judgment~featured~bayesian',)
filtering	('filtering',)
bayesian~filtering	('filtering~bayesian',)
bayesian~featured~filtering	('featured~filtering~bayesian',)
analysis~bayesian~filtering	('filtering~bayesian~analysis',)
maximum	('maximum',)
analysis~maximum	('analysis~maximum',)
analysis~bayesian~maximum	('bayesian~analysis~maximum',)
likelihood~maximum	('maximum~likelihood',)
analysis~likelihood~maximum	('analysis~maximum~likelihood',)
analysis~bayesian~likelihood~maximum	('bayesian~analysis~maximum~likelihood',)
likelihood~prior	('likelihood~prior',)
likelihood~maximum~prior	('maximum~likelihood~prior',)
analysis~likelihood~maximum~prior	('analysis~maximum~likelihood~prior',)
distribution~likelihood~prior	('likelihood~prior~distribution',)
distribution~likelihood~maximum~prior	('maximum~likelihood~prior~distribution',)
distribution~uniform	('uniform~distribution',)
distribution~prior~uniform	('prior~distribution~uniform',)
distribution~likelihood~prior~uniform	('likelihood~prior~distribution~uniform',)
number	('number',)
data~number	('number~data',)
points	('points',)
data~points	('data~points',)
data~number~points	('number~data~points',)
fall	('fall',)
fall~points	('points~fall',)
data~fall~points	('data~points~fall',)
data~fall~number~points	('number~data~points~fall',)
within	('within',)
fall~within	('fall~within',)
fall~points~within	('points~fall~within',)
data~fall~points~within	('data~points~fall~within',)
class	('class',)
frequency	('frequency',)
class~frequency	('frequency~class',)
class~frequency~within	('within~class~frequency',)
class~fall~frequency~within	('fall~within~class~frequency',)
absolute	('absolute',)
absolute~distribution	('distribution~absolute',)
absolute~distribution~frequency	('frequency~distribution~absolute',)
absolute~class~distribution~frequency	('class~frequency~distribution~absolute',)
absolute~frequency	('absolute~frequency',)
descriptive	('descriptive',)
descriptive~frequency	('frequency~descriptive',)
absolute~descriptive~frequency	('absolute~frequency~descriptive',)
absolute~descriptive~distribution~frequency	('distribution~absolute~frequency~descriptive',)
statistics	('statistics',)
descriptive~statistics	('descriptive~statistics',)
descriptive~frequency~statistics	('frequency~descriptive~statistics',)
absolute~descriptive~frequency~statistics	('descriptive~statistics~absolute~frequency',)
cumulative	('cumulative',)
cumulative~statistics	('statistics~cumulative',)
cumulative~descriptive~statistics	('descriptive~statistics~cumulative',)
cumulative~descriptive~frequency~statistics	('frequency~descriptive~statistics~cumulative',)
count	('count',)
count~cumulative	('cumulative~count',)
count~cumulative~statistics	('statistics~cumulative~count',)
count~cumulative~descriptive~statistics	('descriptive~statistics~cumulative~count',)
cumulative~frequency	('cumulative~frequency',)
count~cumulative~frequency	('count~cumulative~frequency',)
distribution~frequency	('frequency~distribution',)
cumulative~distribution~frequency	('cumulative~frequency~distribution',)
distribution~relative	('distribution~relative',)
distribution~frequency~relative	('frequency~distribution~relative',)
frequency~relative	('frequency~relative',)
cumulative~relative	('relative~cumulative',)
cumulative~frequency~relative	('relative~cumulative~frequency',)
value	('value',)
nearest	('nearest',)
nearest~value	('value~nearest',)
still	('still',)
nearest~still	('nearest~still',)
nearest~still~value	('value~nearest~still',)
inside	('inside',)
inside~still	('still~inside',)
inside~nearest~still	('nearest~still~inside',)
inside~nearest~still~value	('value~nearest~still~inside',)
inner	('inner',)
inner~inside	('inside~inner',)
inner~inside~still	('still~inside~inner',)
inner~inside~nearest~still	('nearest~still~inside~inner',)
fence	('fence',)
adjacent	('adjacent',)
adjacent~fence	('fence~adjacent',)
adjacent~fence~inner	('inner~fence~adjacent',)
adjacent~fence~inner~inside	('inside~inner~fence~adjacent',)
adjacent~value	('adjacent~value',)
adjacent~fence~value	('fence~adjacent~value',)
adjacent~fence~inner~value	('inner~fence~adjacent~value',)
descriptive~value	('value~descriptive',)
adjacent~descriptive~value	('adjacent~value~descriptive',)
adjacent~descriptive~fence~value	('fence~adjacent~value~descriptive',)
descriptive~statistics~value	('value~descriptive~statistics',)
adjacent~descriptive~statistics~value	('adjacent~value~descriptive~statistics',)
event	('event',)
event~probability	('event~probability',)
lebesgue	('lebesgue',)
event~lebesgue	('event~lebesgue',)
event~lebesgue~probability	('probability~event~lebesgue',)
measure	('measure',)
almost	('almost',)
almost~measure	('measure~almost',)
almost~lebesgue~measure	('lebesgue~measure~almost',)
almost~event~lebesgue~measure	('event~lebesgue~measure~almost',)
surely	('surely',)
almost~surely	('almost~surely',)
almost~measure~surely	('measure~almost~surely',)
almost~lebesgue~measure~surely	('lebesgue~measure~almost~surely',)
descriptive~surely	('surely~descriptive',)
almost~descriptive~surely	('almost~surely~descriptive',)
almost~descriptive~measure~surely	('measure~almost~surely~descriptive',)
descriptive~statistics~surely	('surely~descriptive~statistics',)
almost~descriptive~statistics~surely	('almost~surely~descriptive~statistics',)
lebesgue~statistics	('statistics~lebesgue',)
descriptive~lebesgue~statistics	('descriptive~statistics~lebesgue',)
descriptive~lebesgue~statistics~surely	('surely~descriptive~statistics~lebesgue',)
lebesgue~measure	('lebesgue~measure',)
lebesgue~measure~statistics	('statistics~lebesgue~measure',)
descriptive~lebesgue~measure~statistics	('descriptive~statistics~lebesgue~measure',)
anomalous	('anomalous',)
anomalous~number	('anomalous~number',)
descriptive~number	('number~descriptive',)
anomalous~descriptive~number	('anomalous~number~descriptive',)
descriptive~number~statistics	('number~descriptive~statistics',)
anomalous~descriptive~number~statistics	('anomalous~number~descriptive~statistics',)
anomalous~statistics	('statistics~anomalous',)
anomalous~descriptive~statistics	('descriptive~statistics~anomalous',)
cancellation	('cancellation',)
anomalous~cancellation	('anomalous~cancellation',)
anomalous~cancellation~statistics	('statistics~anomalous~cancellation',)
anomalous~cancellation~descriptive~statistics	('descriptive~statistics~anomalous~cancellation',)
benford	('benford',)
benford~cancellation	('cancellation~benford',)
anomalous~benford~cancellation	('anomalous~cancellation~benford',)
anomalous~benford~cancellation~statistics	('statistics~anomalous~cancellation~benford',)
law	('law',)
benford~law	('benford~law',)
benford~cancellation~law	('cancellation~benford~law',)
anomalous~benford~cancellation~law	('anomalous~cancellation~benford~law',)
set	('set',)
similar	('similar',)
similar~value	('value~similar',)
set~similar~value	('set~value~similar',)
meaning	('meaning',)
meaning~similar	('similar~meaning',)
meaning~similar~value	('value~similar~meaning',)
meaning~set~similar~value	('set~value~similar~meaning',)
manner	('manner',)
batch	('batch',)
batch~manner	('manner~batch',)
batch~manner~meaning	('meaning~manner~batch',)
batch~manner~meaning~similar	('similar~meaning~manner~batch',)
batch~descriptive	('batch~descriptive',)
batch~descriptive~manner	('manner~batch~descriptive',)
batch~descriptive~manner~meaning	('meaning~manner~batch~descriptive',)
batch~descriptive~statistics	('batch~descriptive~statistics',)
batch~descriptive~manner~statistics	('manner~batch~descriptive~statistics',)
phenomenological	('phenomenological',)
law~phenomenological	('phenomenological~law',)
first	('first',)
first~law	('law~first',)
first~law~phenomenological	('phenomenological~law~first',)
digit	('digit',)
digit~first	('first~digit',)
digit~first~law	('law~first~digit',)
digit~first~law~phenomenological	('phenomenological~law~first~digit',)
phenomenon	('phenomenon',)
leading	('leading',)
leading~phenomenon	('phenomenon~leading',)
digit~leading~phenomenon	('digit~phenomenon~leading',)
digit~first~leading~phenomenon	('first~digit~phenomenon~leading',)
digit~leading	('leading~digit',)
benford~phenomenon	('phenomenon~benford',)
benford~digit~phenomenon	('digit~phenomenon~benford',)
benford~digit~leading~phenomenon	('leading~digit~phenomenon~benford',)
benford~law~phenomenon	('phenomenon~benford~law',)
benford~digit~law~phenomenon	('digit~phenomenon~benford~law',)
listings	('listings',)
tables	('tables',)
listings~tables	('listings~tables',)
law~listings~tables	('law~listings~tables',)
benford~law~listings~tables	('benford~law~listings~tables',)
etc	('etc',)
tends	('tends',)
digit~tends	('digit~tends',)
digit~etc~tends	('etc~digit~tends',)
digit~etc~statistics~tends	('statistics~etc~digit~tends',)
occur	('occur',)
occur~tends	('tends~occur',)
digit~occur~tends	('digit~tends~occur',)
digit~etc~occur~tends	('etc~digit~tends~occur',)
greater	('greater',)
greater~probability	('probability~greater',)
greater~occur~probability	('occur~probability~greater',)
greater~occur~probability~tends	('tends~occur~probability~greater',)
expected	('expected',)
expected~greater	('greater~expected',)
expected~greater~probability	('probability~greater~expected',)
expected~greater~occur~probability	('occur~probability~greater~expected',)
one	('one',)
expected~one	('expected~one',)
expected~greater~one	('greater~expected~one',)
expected~greater~one~probability	('probability~greater~expected~one',)
digit~one	('one~digit',)
digit~expected~one	('expected~one~digit',)
digit~expected~greater~one	('greater~expected~one~digit',)
out	('out',)
digit~out	('digit~out',)
digit~one~out	('one~digit~out',)
digit~expected~one~out	('expected~one~digit~out',)
benford~out	('out~benford',)
benford~digit~out	('digit~out~benford',)
benford~digit~one~out	('one~digit~out~benford',)
benford~law~out	('out~benford~law',)
benford~digit~law~out	('digit~out~benford~law',)
instance	('instance',)
examining	('examining',)
examining~instance	('instance~examining',)
examining~instance~observed	('observed~instance~examining',)
examining~instance~law~observed	('law~observed~instance~examining',)
examining~tables	('examining~tables',)
examining~instance~tables	('instance~examining~tables',)
examining~instance~observed~tables	('observed~instance~examining~tables',)
logarithms	('logarithms',)
noting	('noting',)
logarithms~noting	('logarithms~noting',)
logarithms~noting~tables	('tables~logarithms~noting',)
examining~logarithms~noting~tables	('examining~tables~logarithms~noting',)
first~noting	('noting~first',)
first~logarithms~noting	('logarithms~noting~first',)
first~logarithms~noting~tables	('tables~logarithms~noting~first',)
pages	('pages',)
first~pages	('first~pages',)
first~noting~pages	('noting~first~pages',)
first~logarithms~noting~pages	('logarithms~noting~first~pages',)
worn	('worn',)
pages~worn	('pages~worn',)
first~pages~worn	('first~pages~worn',)
first~noting~pages~worn	('noting~first~pages~worn',)
smudged	('smudged',)
smudged~worn	('worn~smudged',)
pages~smudged~worn	('pages~worn~smudged',)
first~pages~smudged~worn	('first~pages~worn~smudged',)
later	('later',)
later~smudged	('smudged~later',)
later~smudged~worn	('worn~smudged~later',)
later~pages~smudged~worn	('pages~worn~smudged~later',)
later~pages	('later~pages',)
later~pages~smudged	('smudged~later~pages',)
newcomb	('newcomb',)
newcomb~pages	('pages~newcomb',)
later~newcomb~pages	('later~pages~newcomb',)
later~newcomb~pages~smudged	('smudged~later~pages~newcomb',)
benford~newcomb	('newcomb~benford',)
benford~newcomb~pages	('pages~newcomb~benford',)
benford~later~newcomb~pages	('later~pages~newcomb~benford',)
benford~law~newcomb	('newcomb~benford~law',)
benford~law~newcomb~pages	('pages~newcomb~benford~law',)
unquestionably	('unquestionably',)
law~unquestionably	('law~unquestionably',)
benford~law~unquestionably	('benford~law~unquestionably',)
benford~law~newcomb~unquestionably	('newcomb~benford~law~unquestionably',)
applies	('applies',)
applies~unquestionably	('unquestionably~applies',)
applies~law~unquestionably	('law~unquestionably~applies',)
applies~benford~law~unquestionably	('benford~law~unquestionably~applies',)
many	('many',)
applies~many	('applies~many',)
applies~many~unquestionably	('unquestionably~applies~many',)
applies~law~many~unquestionably	('law~unquestionably~applies~many',)
situations	('situations',)
many~situations	('many~situations',)
applies~many~situations	('applies~many~situations',)
applies~many~situations~unquestionably	('unquestionably~applies~many~situations',)
real	('real',)
real~situations	('situations~real',)
many~real~situations	('many~situations~real',)
applies~many~real~situations	('applies~many~situations~real',)
world	('world',)
satisfactory	('satisfactory',)
satisfactory~world	('world~satisfactory',)
real~satisfactory~world	('real~world~satisfactory',)
real~satisfactory~situations~world	('situations~real~world~satisfactory',)
explanation	('explanation',)
explanation~satisfactory	('satisfactory~explanation',)
explanation~satisfactory~world	('world~satisfactory~explanation',)
explanation~real~satisfactory~world	('real~world~satisfactory~explanation',)
been	('been',)
been~explanation	('explanation~been',)
been~explanation~satisfactory	('satisfactory~explanation~been',)
been~explanation~satisfactory~world	('world~satisfactory~explanation~been',)
only	('only',)
been~only	('been~only',)
been~explanation~only	('explanation~been~only',)
been~explanation~only~satisfactory	('satisfactory~explanation~been~only',)
recently	('recently',)
only~recently	('only~recently',)
been~only~recently	('been~only~recently',)
been~explanation~only~recently	('explanation~been~only~recently',)
through	('through',)
recently~through	('recently~through',)
only~recently~through	('only~recently~through',)
been~only~recently~through	('been~only~recently~through',)
work	('work',)
through~work	('through~work',)
recently~through~work	('recently~through~work',)
only~recently~through~work	('only~recently~through~work',)
hill	('hill',)
hill~work	('work~hill',)
hill~through~work	('through~work~hill',)
hill~recently~through~work	('recently~through~work~hill',)
benford~hill	('hill~benford',)
benford~hill~work	('work~hill~benford',)
benford~hill~through~work	('through~work~hill~benford',)
benford~hill~law	('hill~benford~law',)
benford~hill~law~work	('work~hill~benford~law',)
character	('character',)
character~law	('law~character',)
benford~character~law	('benford~law~character',)
benford~character~hill~law	('hill~benford~law~character',)
charlie	('charlie',)
character~charlie	('character~charlie',)
character~charlie~law	('law~character~charlie',)
benford~character~charlie~law	('benford~law~character~charlie',)
eppes	('eppes',)
charlie~eppes	('charlie~eppes',)
character~charlie~eppes	('character~charlie~eppes',)
character~charlie~eppes~law	('law~character~charlie~eppes',)
analogy	('analogy',)
analogy~eppes	('eppes~analogy',)
analogy~charlie~eppes	('charlie~eppes~analogy',)
analogy~character~charlie~eppes	('character~charlie~eppes~analogy',)
help	('help',)
analogy~help	('analogy~help',)
analogy~eppes~help	('eppes~analogy~help',)
analogy~charlie~eppes~help	('charlie~eppes~analogy~help',)
solve	('solve',)
help~solve	('help~solve',)
analogy~help~solve	('analogy~help~solve',)
analogy~eppes~help~solve	('eppes~analogy~help~solve',)
series	('series',)
series~solve	('solve~series',)
help~series~solve	('help~solve~series',)
analogy~help~series~solve	('analogy~help~solve~series',)
high	('high',)
high~series	('series~high',)
high~series~solve	('solve~series~high',)
help~high~series~solve	('help~solve~series~high',)
burglaries	('burglaries',)
burglaries~high	('high~burglaries',)
burglaries~high~series	('series~high~burglaries',)
burglaries~high~series~solve	('solve~series~high~burglaries',)
burglaries~season	('burglaries~season',)
burglaries~high~season	('high~burglaries~season',)
burglaries~high~season~series	('series~high~burglaries~season',)
running	('running',)
running~season	('season~running',)
burglaries~running~season	('burglaries~season~running',)
burglaries~high~running~season	('high~burglaries~season~running',)
episode~man~running	('running~man~episode',)
episode~man~running~season	('season~running~man~episode',)
episode~television	('episode~television',)
episode~man~television	('man~episode~television',)
episode~man~running~television	('running~man~episode~television',)
crime~episode~television	('episode~television~crime',)
crime~episode~man~television	('man~episode~television~crime',)
crime~drama~episode~television	('episode~television~crime~drama',)
benford~numb3rs	('numb3rs~benford',)
benford~drama~numb3rs	('drama~numb3rs~benford',)
benford~crime~drama~numb3rs	('crime~drama~numb3rs~benford',)
benford~law~numb3rs	('numb3rs~benford~law',)
benford~drama~law~numb3rs	('drama~numb3rs~benford~law',)
applies~law	('law~applies',)
applies~benford~law	('benford~law~applies',)
applies~benford~law~numb3rs	('numb3rs~benford~law~applies',)
applies~data	('applies~data',)
applies~data~law	('law~applies~data',)
applies~benford~data~law	('benford~law~applies~data',)
dimensionless	('dimensionless',)
numerical	('numerical',)
dimensionless~numerical	('dimensionless~numerical',)
data~dimensionless~numerical	('data~dimensionless~numerical',)
applies~data~dimensionless~numerical	('applies~data~dimensionless~numerical',)
data~value	('value~data',)
data~numerical~value	('numerical~value~data',)
data~dimensionless~numerical~value	('dimensionless~numerical~value~data',)
depend	('depend',)
data~depend	('data~depend',)
data~depend~value	('value~data~depend',)
data~depend~numerical~value	('numerical~value~data~depend',)
universal	('universal',)
unit~universal	('unit~universal',)
depend~unit~universal	('depend~unit~universal',)
data~depend~unit~universal	('data~depend~unit~universal',)
probability~universal	('universal~probability',)
probability~unit~universal	('unit~universal~probability',)
depend~probability~unit~universal	('depend~unit~universal~probability',)
distribution~probability	('probability~distribution',)
distribution~probability~universal	('universal~probability~distribution',)
distribution~probability~unit~universal	('unit~universal~probability~distribution',)
distribution~over~probability	('probability~distribution~over',)
distribution~over~probability~universal	('universal~probability~distribution~over',)
invariant	('invariant',)
invariant~number	('number~invariant',)
